Date,Open,High,Low,Close,Adj Close,Volume
2018-02-27,55.400002,55.400002,54.000000,54.599998,52.418755,31787
2018-02-28,54.000000,55.000000,53.400002,54.799999,52.610764,39536
2018-03-01,54.799999,54.799999,53.200001,53.799999,51.650715,56494
2018-03-02,53.700001,56.500000,53.000000,54.299999,52.130737,86809
2018-03-05,54.299999,54.799999,53.099998,53.500000,51.362698,70554
2018-03-06,53.599998,55.799999,53.599998,55.400002,53.186794,198567
2018-03-07,55.000000,55.200001,51.000000,51.900002,49.826618,267016
2018-03-08,52.000000,53.200001,50.299999,50.700001,48.674561,332871
2018-03-09,51.000000,53.200001,50.799999,51.500000,49.442596,264070
2018-03-12,52.400002,52.400002,51.200001,51.700001,49.634609,211917
2018-03-13,51.700001,52.500000,51.700001,52.200001,50.114632,55553
2018-03-14,52.200001,53.000000,52.000000,52.299999,50.210640,13330
2018-03-15,52.299999,52.299999,51.599998,51.599998,49.538597,13830
2018-03-16,51.500000,52.200001,51.500000,51.500000,49.442596,2123
2018-03-19,51.599998,51.700001,50.000000,50.200001,48.194534,24207
2018-03-20,50.799999,51.799999,50.200001,51.500000,49.442596,15939
2018-03-21,50.299999,51.400002,50.299999,50.500000,48.482544,24101
2018-03-22,50.799999,50.799999,50.200001,50.400002,48.386539,10031
2018-03-23,48.200001,49.950001,48.200001,49.700001,47.714504,8709
2018-03-26,48.349998,50.799999,48.349998,49.500000,47.522495,252474
2018-03-27,49.500000,52.000000,49.500000,50.000000,48.002518,940
2018-03-28,51.900002,51.900002,48.000000,49.950001,47.954517,15326
2018-03-29,50.000000,50.000000,48.000000,49.750000,47.762508,3949
2018-04-03,49.500000,49.700001,48.049999,48.299999,46.370430,15320
2018-04-04,47.099998,50.900002,47.099998,50.900002,48.866570,57208
2018-04-05,50.799999,50.799999,49.400002,49.500000,47.522495,21884
2018-04-06,51.000000,51.000000,49.299999,50.000000,48.002518,19051
2018-04-09,50.099998,50.099998,48.000000,48.200001,46.274433,15679
2018-04-10,48.750000,49.950001,48.700001,49.000000,47.042469,24504
2018-04-11,48.700001,49.200001,48.000000,48.000000,46.082420,4856
2018-04-12,52.000000,52.000000,48.750000,49.950001,47.954517,38101
2018-04-13,49.950001,49.950001,48.500000,49.000000,47.042469,8233
2018-04-16,48.049999,52.700001,46.000000,49.900002,47.906517,7858
2018-04-17,50.000000,51.900002,49.500000,51.500000,49.442596,250252
2018-04-18,51.500000,51.500000,50.099998,51.000000,48.962570,1271
2018-04-19,50.200001,54.500000,50.200001,53.900002,51.746719,70303
2018-04-20,53.900002,54.000000,52.799999,54.000000,51.842724,60778
2018-04-23,54.400002,56.900002,53.500000,56.200001,53.954834,136667
2018-04-24,56.599998,59.299999,56.200001,57.000000,54.722874,11814
2018-04-25,57.000000,58.000000,55.200001,57.799999,55.490913,24830
2018-04-26,57.799999,59.799999,56.000000,59.799999,57.411015,7171
2018-04-27,59.799999,60.500000,56.299999,60.000000,57.603024,45186
2018-04-30,60.099998,63.700001,60.099998,61.900002,59.427124,13229
2018-05-02,62.000000,66.500000,62.000000,66.500000,63.843353,83507
2018-05-03,66.900002,66.900002,63.099998,63.099998,60.579178,27850
2018-05-04,63.099998,63.099998,60.500000,60.799999,58.371063,16063
2018-05-07,60.900002,61.400002,60.200001,60.200001,57.795036,7141
2018-05-08,60.099998,68.199997,60.000000,63.799999,61.251217,116059
2018-05-09,61.700001,68.500000,61.000000,68.000000,65.283432,238569
2018-05-11,67.900002,68.000000,66.199997,67.900002,65.187424,112175
2018-05-14,66.800003,67.300003,64.000000,65.000000,62.403278,193810
2018-05-15,65.000000,68.900002,64.099998,68.400002,65.667442,108656
2018-05-16,68.500000,68.500000,65.300003,65.300003,62.691292,45658
2018-05-17,65.000000,65.300003,62.500000,64.500000,61.923248,41829
2018-05-18,64.099998,65.400002,63.500000,64.000000,61.443230,51808
2018-05-21,64.000000,65.000000,63.200001,64.000000,61.443230,91817
2018-05-22,64.099998,64.099998,61.200001,62.000000,59.523125,26248
2018-05-23,62.099998,62.500000,61.400002,62.099998,59.619129,38420
2018-05-24,62.099998,63.099998,62.000000,62.000000,59.523125,22463
2018-05-25,62.000000,63.599998,62.000000,63.099998,60.579178,13090
2018-05-28,62.900002,62.900002,61.599998,62.599998,60.099155,4874
2018-05-29,62.599998,62.700001,62.000000,62.700001,60.195164,5262
2018-05-30,62.700001,66.500000,62.500000,64.000000,61.443230,16515
2018-05-31,64.000000,69.199997,64.000000,69.199997,66.435486,30638
2018-06-01,68.400002,69.800003,65.699997,69.500000,66.723495,46993
2018-06-04,69.500000,72.500000,67.500000,71.000000,68.163589,75009
2018-06-05,71.400002,73.500000,71.400002,73.500000,70.563705,154564
2018-06-06,73.500000,73.500000,73.500000,73.500000,70.563705,0
2018-06-07,73.000000,77.599998,71.199997,76.500000,73.443863,746209
2018-06-08,75.900002,76.000000,74.000000,75.500000,72.483810,123021
2018-06-11,75.400002,75.400002,71.300003,72.500000,69.603653,43095
2018-06-12,72.000000,72.800003,70.300003,72.800003,69.891663,27352
2018-06-13,73.400002,77.199997,73.400002,75.000000,72.003769,184772
2018-06-14,75.000000,75.199997,73.000000,73.300003,70.371704,11506
2018-06-15,74.000000,74.000000,71.500000,72.599998,69.699661,146203
2018-06-18,72.699997,74.500000,72.500000,73.699997,70.755707,12014
2018-06-19,73.699997,74.900002,72.500000,73.800003,70.851723,15059
2018-06-20,74.800003,78.599998,73.500000,76.199997,73.155838,560616
2018-06-21,77.000000,77.900002,75.099998,75.900002,72.867828,25146
2018-06-22,75.900002,75.900002,75.900002,75.900002,72.867828,0
2018-06-25,75.900002,75.900002,74.000000,74.500000,71.523750,19063
2018-06-26,74.400002,76.800003,73.800003,73.800003,70.851723,27840
2018-06-27,73.800003,75.400002,73.000000,74.000000,71.043732,171581
2018-06-28,74.500000,76.900002,74.500000,75.900002,72.867828,25188
2018-06-29,76.000000,78.500000,76.000000,78.400002,75.267960,15755
2018-07-02,79.000000,79.000000,76.000000,77.300003,74.211899,13618
2018-07-03,77.000000,79.000000,75.199997,75.199997,72.195793,13291
2018-07-04,78.300003,78.300003,75.800003,76.500000,73.443863,22441
2018-07-05,78.099998,78.099998,76.099998,76.099998,73.059837,7438
2018-07-06,76.300003,77.699997,76.099998,76.800003,73.731873,10343
2018-07-09,77.599998,78.000000,76.900002,78.000000,74.883934,27902
2018-07-10,77.000000,77.900002,76.199997,76.800003,73.731873,7551
2018-07-11,76.800003,77.599998,76.199997,77.000000,73.923882,3350
2018-07-12,77.500000,81.699997,77.500000,80.599998,77.380058,52929
2018-07-13,81.099998,83.000000,80.900002,81.199997,77.956085,66042
2018-07-16,83.300003,94.800003,83.300003,93.500000,89.764717,179893
2018-07-17,90.000000,93.500000,87.500000,89.000000,85.444489,65097
