Target,Stoploss
2,1
Price,RSI.cs,VWAP.cs,IsValid, TimeToValidate
184.6,41.34079,45.81654,True,5,
187,37.86981,51.97959,False,1,
184.4,36.99422,36.18503,True,3,
185.2,48.7342,36.48538,True,2,
184,47.53088,25.46466,True,1,
191.8,67.47968,78.87748,False,1,
180.8,51.23457,0,False,2,
182,61.46341,8.204278,False,1,
178.6,57.28643,0,False,1,
173.8,57.71144,0,True,3,
176.8,68.29269,0.8515818,True,9,
176,61.72249,0,True,8,
177.8,60.39603,17.76324,False,3,
178.6,58.93719,25.0681,False,2,
177.2,57.21154,18.12699,True,5,
175.8,62.06896,16.19761,True,4,
176.8,60.91369,24.31075,True,3,
177.2,60.60605,27.98057,True,2,
178.6,58.76289,37.72447,False,2,
181,70.37036,62.07232,False,1,
172.8,49.57984,29.75889,True,4,
174,64.93506,41.33001,False,1,
171.2,58.04197,30.93746,True,2,
174,54.88723,42.60447,True,1,
178,55.30303,61.08362,False,4,
178.4,46.62162,61.94089,False,3,
178.4,48.93619,63.25035,False,2,
178,50.36498,61.14737,False,1,
174.2,48.48484,22.5538,False,1,
170.4,52.77779,0,False,4,
169.8,60.1266,0,False,3,
172,61.63521,0,False,2,
171.4,60.12271,0,False,1,
168,65.58443,0,False,1,
163.6,59.23078,0,False,2,
162,67.80822,0,False,2,
161.4,66.42857,0,False,1,
158.2,74.41862,0,True,1,
163.8,89.60003,0,False,1,
160,74.17217,27.14899,True,1,
166.8,77.05882,50.38111,False,1,
163.4,63.86138,44.35674,False,1,
161,63.5,38.94586,False,1,
155.6,62.17616,26.25149,True,1,
159.4,66.35944,39.91795,True,2,
159.6,64,42.86946,True,1,
166.2,63.22868,62.17929,False,3,
165,51.88285,59.52364,False,2,
164.8,48.4305,59.88201,False,1,
162,46.75925,49.25497,True,2,
163,49.3392,53.95869,True,1,
167.6,44.44444,87.26515,False,1,
164,45.49763,64.77657,False,4,
164.4,45.23809,66.1638,False,3,
164.2,53.3708,71.1805,False,2,
164.8,48.76543,84.24076,False,1,
159.2,43.79084,0,True,1,
166.2,44.15586,98.32638,False,1,
162.6,40,22.93212,True,1,
167.6,45.9893,89.27653,False,3,
169,48.04468,88.14279,False,2,
168.8,44.44444,79.8116,False,1,
161.8,44.44444,1.401822,False,1,
159,50.24875,0,False,1,
155.6,54.76191,0,True,1,
162,64.70589,5.661376,True,2,
162.6,52.29358,23.16498,True,1,
166.4,52.05479,100,False,5,
167,47.67933,100,False,2,
166,47.67933,100,False,3,
164.8,42.05607,63.64206,False,2,
165.6,51.89189,95.45393,False,1,
158.2,45.61403,0,False,3,
157.2,62.84155,0,False,3,
157.8,66.29835,0,False,1,
156.2,65.02731,0,False,2,
155.4,58.97437,0,False,5,
154.4,56.16439,0,False,5,
154.6,52.23883,0,False,3,
156.2,67.96112,0,False,1,
154,64.81482,0,False,2,
153,80.99994,0,False,1,
151.4,84.31368,0,False,1,
149.6,84.76187,13.98426,False,1,
148,85.18514,25.75356,True,1,
151.4,89.28568,44.36221,False,1,
148.2,68.47826,38.32689,True,1,
152.8,71.84465,52.33215,False,1,
149.6,60.1626,43.65228,False,3,
150,62.5954,45.68644,False,2,
151.4,60.46511,50.94669,False,1,
147.6,55.72519,36.86694,False,3,
147.6,61.74498,36.57875,False,2,
148.6,65.24823,41.69021,False,1,
143.8,60,17.20952,True,1,
149.2,64.93507,47.31073,True,2,
150.8,53.17919,59.64782,True,1,
156.2,48.25581,100,False,1,
154,39.26701,65.1116,True,2,
155.2,46.48647,76.00176,True,1,
162.2,39.99999,100,True,2,
164,37.43315,100,True,2,
166.4,29.99999,100,True,1,
170.6,28.42104,100,False,1,
168,26.47057,100,True,4,
170.6,24.24243,100,True,4,
170.4,22.74883,100,True,3,
171.2,23.67153,100,True,2,
173.4,13.36902,100,True,1,
178.8,14.61991,100,True,2,
180.2,13.15792,100,False,3,
182.6,14.70591,90.76653,False,1,
180.6,8.18718,73.0104,False,1,
177.8,13.71432,62.28833,False,1,
173.8,24.67535,52.37433,True,7,
176.4,35.15153,54.87306,False,1,
172.8,34.93977,47.27922,True,3,
173.2,46.62577,47.09551,True,2,
173.2,41.44738,46.09858,True,1,
177,45.32376,53.53587,True,4,
176.6,39.49044,51.89439,True,2,
178,41.29031,54.47322,True,2,
180.2,42.38409,61.28803,True,3,
183.6,47.40742,78.00564,True,5,
183.6,44.13791,86.40279,True,4,
185,48.1203,100,True,3,
185,41.53846,100,True,2,
186.4,34.48274,100,True,1,
192.4,19.41743,100,True,2,
193,16.66662,100,True,1,
198.4,1.904732,100,False,1,
193.2,1.538437,72.75761,False,5,
195.4,17.9487,70.82655,False,1,
192.2,18.91891,58.69847,False,3,
192.6,25.92592,57.84064,False,2,
192.6,26.75158,54.26767,False,1,
190,28.76711,47.12302,True,1,
199.2,38.7324,66.8122,True,2,
199.4,29.25533,63.99788,True,1,
205,30.21978,72.67272,True,2,
206,26.19048,74.37123,True,1,
219.5,26.44231,80.98793,False,4,
218.5,22.40325,77.57806,False,3,
217.5,24.24242,73.7232,False,2,
220,28.82483,72.71789,False,1,
213,18.39623,58.41551,True,4,
215,31.35593,60.78315,True,3,
213,25.21739,54.39544,True,2,
217,28.57143,61.34529,True,5,
220,26.3566,65.19256,False,2,
218,21.15385,57.77553,False,1,
215.5,29.01785,50.21686,True,2,
218.5,32.9087,54.43889,True,1,
230,34.83146,72.97119,False,3,
231.5,28.18182,75.11769,False,1,
228,36.04651,65.10317,True,3,
227.5,39.56044,63.75616,True,2,
229,38.88889,66.13142,True,1,
234,39.77272,74.24664,True,2,
237,25,77.43546,True,1,
262,24.41861,82.14069,True,4,
259.5,12.87878,72.42766,True,2,
262.5,17.05426,71.86838,True,2,
266,17.05426,72.74721,False,4,
268,13.63636,72.61463,False,3,
268.5,9.923668,71.1782,False,2,
268.5,10.31746,69.43629,False,1,
241,12.62136,35.89291,True,2,
242,43.87097,35.80986,False,2,
246,40.66667,39.47609,False,1,
230,38.21656,10.67453,False,1,
216,49.46236,0,True,1,
221,58.82352,0,True,1,
238.5,57.69231,0,False,2,
240,62.17617,27.21455,False,1,
235.5,60.20942,24.15855,False,1,
223,63.91753,1.020675,False,1,
218,70.28302,2.910976,False,1,
210,72.93578,2.324095,False,1,
199.4,75.1073,0,False,1,
181.6,77.18332,10.48003,True,1,
190,75.29813,26.09392,True,2,
189,70.83334,29.62757,True,1,
202,73.39902,44.48617,False,1,
194.6,61.78452,39.14149,True,1,
210.5,59.53654,53.35072,True,1,
216,54.26483,59.58774,False,2,
214,60.12601,60.25351,False,1,
202,61.64875,50.99431,True,1,
209,64.06381,61.32291,True,1,
222,56.16197,79.73106,False,1,
212.5,48.35526,70.7974,True,1,
224.5,48.98456,99.90173,False,2,
224,39.91967,100,False,1,
218.4,30.22388,100,False,2,
218.6,36.39847,100,False,1,
207.4,35.71428,41.95572,True,1,
214.6,47.34774,55.90937,True,2,
218.4,40.15748,58.25412,True,1,
230,45.5866,79.49664,True,2,
233.2,42.67783,84.1377,False,2,
237.6,40.08265,88.89306,False,1,
230,30.04485,66.48455,True,1,
239.4,38.30735,78.46066,True,1,
245.2,39.9072,86.06535,False,1,
242.2,30.18183,77.61954,True,1,
252,37.95919,89.01084,True,3,
254,33.0918,92.8053,True,2,
256.8,27.52525,96.78276,True,1,
262,26.65038,100,False,3,
260.4,13.98418,77.76222,False,2,
260.8,17.37893,71.16782,False,1,
246.2,18.26348,48.1356,True,5,
247,38.39542,47.85941,False,1,
244,39.76261,43.33401,True,1,
249.8,45.15152,49.99766,True,2,
250.8,34.57944,49.83686,True,1,
262.4,39.78494,61.96533,False,1,
255.2,36.03896,51.12613,True,1,
265,40.12157,65.11256,False,2,
264.8,40.12157,65.0354,False,1,
260,41.56251,56.37932,False,1,
249.6,47.57575,31.74187,True,1,
259,58.70786,59.27282,True,1,
276.2,50.88607,100,True,1,
287.8,41.96241,100,True,1,
313,27.5862,100,True,2,
316.2,21.843,100,True,3,
320,19.25042,100,False,3,
320.6,19.58405,100,False,2,
326.4,19.65217,91.74654,False,1,
303.4,20.69596,60.31794,True,1,
314.6,30.72,60.43544,False,4,
312.6,30.37975,57.60899,False,3,
