Price,AxisX,AxisY,IsValid
2.95,63.60369,20.76502,True,
3.13,67.21416,26.76768,True,
3.4,73.67854,27.31958,False,
3.54,72.24032,16.41791,False,
3.33,64.2504,15.34883,False,
3.19,58.26923,19.82379,False,
2.95,49.74255,26.81818,True,
3.05,52.25348,36.72566,True,
2.93,46.20666,38.60464,True,
3,47.25763,41.33333,True,
3.28,60.30043,41.51785,False,
3.3,61.45706,40.25974,False,
3.37,65.10573,42.66055,False,
3.45,72.98173,45.14563,False,
3.15,46.77338,36.97916,False,
3.27,57.52689,49.50981,False,
3.18,48.76391,53.43916,False,
3.08,35.25238,59.78261,False,
3.01,16.35841,57.22544,False,
3.02,13.04902,55.42169,False,
2.97,0,47.55245,False,
2.85,0,52.89855,True,
2.72,0,52.89856,True,
2.87,0,59.72222,True,
3.08,36.343,65.64886,True,
3.23,100,57.33333,False,
3.13,64.5981,54.43037,True,
3.11,62.13124,60,True,
2.98,27.10811,51.51516,True,
3.03,51.36114,60.90226,True,
3.14,78.94752,55.81396,True,
3.2,100,47.6923,False,
3.24,100,42.63566,False,
3.32,100,41.66666,False,
3.46,100,37.03704,False,
3.51,100,27.73722,False,
3.35,66.82124,19.37984,False,
3.21,42.85578,31.53846,False,
3.3,49.68563,44.71544,False,
3.07,20.3113,47.00855,False,
2.91,0,52.3077,False,
2.99,4.848056,56.94444,False,
3,3.141032,49.64029,False,
2.95,0,51.11111,False,
2.85,0,57.36435,False,
3,0,63.1579,False,
2.9,0,58.33334,False,
2.86,0,64.38356,False,
2.82,0,72.05883,False,
2.75,22.76278,75.55556,False,
2.52,26.57038,73.80952,False,
2.49,27.55377,75.55556,True,
2.39,25.04253,81.39535,True,
2.47,33.58627,79.31034,True,
2.5,36.90565,70.37038,True,
2.85,57.74634,73.78641,False,
2.72,50.34392,55.47446,False,
2.59,42.29202,57.93104,False,
2.54,40.52574,58.78378,False,
2.44,34.66746,66.66667,False,
2.26,23.55418,66.66667,False,
2.28,27.54991,69.73685,False,
1.95,17.34212,68.00001,True,
2.12,32.28131,72.72728,True,
2.26,44.79031,61.76471,True,
2.28,46.45417,56.35359,False,
2.42,58.41031,53.1792,False,
2.5,66.82086,51.39665,False,
2.38,55.70111,50,False,
2.2,43.85964,64.59627,True,
2.21,47.98856,65.66264,True,
