Target,Stoploss
1,1
Price,RSI.cs,VWAP.cs,IsValid, TimeToValidate
29,47.72727,100,False,1,
28.625,28,82.62521,True,2,
28.5,32.07547,75.09219,True,1,
29,34.61539,81.90025,False,2,
28.875,26.92308,71.82469,False,1,
28.125,28.30189,47.92738,True,2,
28.125,42,45.80429,True,1,
29.125,46.66667,66.29719,False,3,
29.125,41.17647,63.78535,False,2,
28.875,41.17647,56.4691,False,2,
28.625,40,48.94264,False,2,
28.375,46.80851,40.97129,False,1,
27.875,46.80851,22.63851,True,3,
27.625,45.65218,6.454104,True,2,
27.75,65.71429,4.450089,True,1,
28.375,60.60606,41.46393,True,1,
29.5,51.35135,100,True,1,
29.875,45.23809,100,False,2,
29.625,40.90909,100,False,1,
29.25,35,83.68621,False,1,
28.875,39.53489,46.62719,False,1,
28.5,52.63158,10.63093,False,1,
28,56.09756,0,False,4,
27.875,58.13953,0,False,3,
28,57.14286,0,False,2,
27.75,53.65854,0,False,2,
27.5,51.28205,0,False,1,
26.25,51.28205,0,True,1,
27.25,62.5,0,True,4,
27.25,58.82352,0,True,3,
27.25,71.42857,0,True,2,
27.25,76.92307,21.40753,True,1,
27.75,75.67567,46.50455,True,1,
28.625,65.78947,77.23579,False,3,
28.625,52.38095,79.48934,False,2,
28.625,48.71795,81.83508,False,1,
27.625,42.85714,52.86444,True,1,
28.625,52.38095,88.13226,False,3,
28.625,44.89796,92.84583,False,2,
28.625,42.55319,99.29807,False,1,
28.25,40,83.02706,False,4,
28.25,28.94736,67.25227,False,3,
28,36.66666,37.34193,False,2,
28.25,40.625,50.51917,False,1,
27.5,38.23529,9.875812,False,2,
27.25,47.5,0,True,2,
27.125,55.26316,0,True,1,
27.75,68.75,25.22015,False,2,
27.625,59.45946,13.86688,True,3,
27.375,60.52631,0,True,2,
27.375,53.125,0,True,1,
28,70.83334,54.06526,False,2,
28.25,58.62069,91.10734,False,1,
27.625,54.83871,14.45527,False,2,
27.625,57.57576,25.79295,False,1,
26.625,57.57576,0,True,2,
26.5,64.10256,0,True,1,
27.25,68.42105,36.11872,True,1,
27.625,52.63158,55.75904,False,3,
27.375,46.15385,40.63003,True,6,
27.5,47.5,47.79369,False,1,
27.125,52.77778,22.89751,True,3,
